time,logger,level,message,exception
2012-05-31 11:49:19.1938,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 45 ms
",
2012-05-31 11:49:51.9781,Raven.Database.Server.HttpServer,Debug,Request #  40: GET     -    26 ms - <default>  - 200 - /stats?noCache=-206898889,
2012-05-31 11:49:58.0747,Raven.Database.Server.HttpServer,Debug,Request #  41: GET     -    80 ms - <default>  - 200 - /stats?noCache=1653388282,
2012-05-31 11:50:04.1733,Raven.Database.Server.HttpServer,Debug,Request #  42: GET     -   130 ms - <default>  - 200 - /stats?noCache=-1544655979,
2012-05-31 11:50:10.2829,Raven.Database.Server.HttpServer,Debug,Request #  43: GET     -   135 ms - <default>  - 200 - /stats?noCache=-960555146,
2012-05-31 11:50:16.2265,Raven.Database.Server.HttpServer,Debug,Request #  44: GET     -    26 ms - <default>  - 200 - /stats?noCache=1628642364,
2012-05-31 11:50:16.4165,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-05-31 11:50:16.4165,Raven.Database.Server.HttpServer,Debug,Request #  45: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-05-31 11:50:16.6096,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/test1' was not found,
2012-05-31 11:50:16.6096,Raven.Database.Server.HttpServer,Debug,Request #  46: GET     -     0 ms - <default>  - 404 - /docs/agent/test1,
2012-05-31 11:50:16.7316,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'test1' was not found,
2012-05-31 11:50:16.7316,Raven.Database.Server.HttpServer,Debug,Request #  47: GET     -     0 ms - <default>  - 404 - /docs/test1,
2012-05-31 11:50:20.2339,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'agent/test1', update: False, ",
2012-05-31 11:50:20.2339,Raven.Database.DocumentDatabase,Debug,Put document agent/test1 with etag 00000000-0000-0300-0000-000000000002,
2012-05-31 11:50:20.2339,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 5 because: PUT agent/test1,
2012-05-31 11:50:20.2339,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.0189526,
2012-05-31 11:50:20.2339,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0300-0000-000000000001,
2012-05-31 11:50:20.2339,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 1 documents remained",
2012-05-31 11:50:20.2339,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 1 documents in IndexName: Temp/AgentRecords, LastIndexedEtag: 00000000-0000-0300-0000-000000000001",
2012-05-31 11:50:20.2339,Raven.Database.Server.HttpServer,Debug,Request #  48: POST    -    20 ms - <default>  - 200 - /bulk_docs,
2012-05-31 11:50:20.2339,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/AgentRecords. (agent/test1),
2012-05-31 11:50:20.2339,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 5, for: ReducingExecuter, will wait for additional work",
2012-05-31 11:50:20.2339,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on agent/test1 result in index Temp/AgentRecords gave document: 	__document_id IS: agent/test1
",
2012-05-31 11:50:20.2339,Raven.Database.Server.HttpServer,Debug,"	PUT agent/test1
",
2012-05-31 11:50:20.2339,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 3 documents for Temp/AgentRecords,
2012-05-31 11:50:20.2459,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 6 because: WORK BY IndexingExecuter,
2012-05-31 11:50:20.2459,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 6, for: ReducingExecuter, will wait for additional work",
2012-05-31 11:50:20.2459,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 6, for: IndexingExecuter, will wait for additional work",
2012-05-31 11:50:22.2621,Raven.Database.Server.HttpServer,Debug,Request #  49: GET     -    30 ms - <default>  - 200 - /stats?noCache=-1787811191,
2012-05-31 11:50:32.4272,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/AgentRecords for all documents,
2012-05-31 11:50:32.4352,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/devpc12' was found,
2012-05-31 11:50:32.4352,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/test1' was found,
2012-05-31 11:50:32.4352,Raven.Database.Server.HttpServer,Debug,Request #  50: GET     -    47 ms - <default>  - 200 - /indexes/dynamic/AgentRecords?query=&start=0&pageSize=128&aggregation=None,
2012-05-31 11:50:32.4352,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 47 ms
	Index: Temp/AgentRecords
	Results: 2 returned out of 2 total.
",
2012-05-31 11:50:40.5720,Raven.Database.Server.HttpServer,Debug,Request #  51: GET     -    33 ms - <default>  - 200 - /stats?noCache=505855014,
2012-05-31 11:50:47.5777,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/test2' was not found,
2012-05-31 11:50:47.5777,Raven.Database.Server.HttpServer,Debug,Request #  52: GET     -    19 ms - <default>  - 404 - /docs/agent/test2,
2012-05-31 11:50:47.6407,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'test2' was not found,
2012-05-31 11:50:47.6407,Raven.Database.Server.HttpServer,Debug,Request #  53: GET     -     0 ms - <default>  - 404 - /docs/test2,
2012-05-31 11:51:42.5962,Raven.Database.Server.HttpServer,Debug,Request #  54: GET     -    28 ms - <default>  - 200 - /stats?noCache=826094598,
2012-05-31 11:51:53.7853,Raven.Database.Server.HttpServer,Debug,Request #  55: GET     -    31 ms - <default>  - 200 - /stats?noCache=-1778584656,
2012-05-31 11:52:17.1356,Raven.Database.Server.HttpServer,Debug,Request #  56: GET     -    45 ms - <default>  - 200 - /stats?noCache=-1071943797,
2012-05-31 11:52:34.3433,Raven.Database.Server.HttpServer,Debug,Request #  57: GET     -    27 ms - <default>  - 200 - /stats?noCache=1000367908,
2012-05-31 11:52:45.5745,Raven.Database.Server.HttpServer,Debug,Request #  58: GET     -    28 ms - <default>  - 200 - /stats?noCache=-1581619642,
2012-05-31 11:53:08.0097,Raven.Database.Server.HttpServer,Debug,Request #  59: GET     -    45 ms - <default>  - 200 - /stats?noCache=-853436197,
2012-05-31 11:53:14.0393,Raven.Database.Server.HttpServer,Debug,Request #  60: GET     -    31 ms - <default>  - 200 - /docs?pageSize=0&noCache=1123133580,
2012-05-31 11:53:14.2853,Raven.Database.Server.HttpServer,Debug,Request #  61: GET     -    44 ms - <default>  - 200 - /stats?noCache=1253194551,
2012-05-31 11:53:20.2209,Raven.Database.Server.HttpServer,Debug,Request #  62: GET     -    35 ms - <default>  - 200 - /stats?noCache=-1604516640,
2012-05-31 11:53:31.3910,Raven.Database.Server.HttpServer,Debug,Request #  63: GET     -    26 ms - <default>  - 200 - /stats?noCache=121505617,
2012-05-31 11:53:42.7072,Raven.Database.Server.HttpServer,Debug,Request #  64: GET     -    85 ms - <default>  - 200 - /stats?noCache=1611378770,
2012-05-31 11:53:48.8288,Raven.Database.Server.HttpServer,Debug,Request #  65: GET     -    33 ms - <default>  - 200 - /stats?noCache=-1061615255,
2012-05-31 11:54:43.7203,Raven.Database.Server.HttpServer,Debug,Request #  66: GET     -    29 ms - <default>  - 200 - /stats?noCache=-92271902,
2012-05-31 11:55:23.0792,Raven.Database.Server.HttpServer,Debug,Request #  67: GET     -    50 ms - <default>  - 200 - /stats?noCache=-851433332,
2012-05-31 11:55:46.5406,Raven.Database.Server.HttpServer,Debug,Request #  68: GET     -   235 ms - <default>  - 200 - /stats?noCache=-354045356,
2012-05-31 11:55:51.3990,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-05-31 11:55:51.3990,Raven.Database.Server.HttpServer,Debug,Request #  69: GET     -   124 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-05-31 11:55:51.5641,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/test3' was not found,
2012-05-31 11:55:51.5641,Raven.Database.Server.HttpServer,Debug,Request #  70: GET     -    52 ms - <default>  - 404 - /docs/agent/test3,
2012-05-31 11:55:51.6201,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'test3' was not found,
2012-05-31 11:55:51.6201,Raven.Database.Server.HttpServer,Debug,Request #  71: GET     -     0 ms - <default>  - 404 - /docs/test3,
2012-05-31 11:55:52.4231,Raven.Database.Server.HttpServer,Debug,Request #  72: GET     -   104 ms - <default>  - 200 - /stats?noCache=-1598369395,
2012-05-31 11:55:57.9357,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/AgentRecords for all documents,
2012-05-31 11:55:57.9357,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/AgentRecords for all documents,
2012-05-31 11:55:57.9357,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/devpc12' was found,
2012-05-31 11:55:57.9357,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/devpc12' was found,
2012-05-31 11:55:57.9357,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/test1' was found,
2012-05-31 11:55:57.9357,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/test1' was found,
2012-05-31 11:55:57.9357,Raven.Database.Server.HttpServer,Debug,Request #  73: GET     -    21 ms - <default>  - 200 - /indexes/dynamic/AgentRecords?query=&start=0&pageSize=128&aggregation=None,
2012-05-31 11:55:57.9357,Raven.Database.Server.HttpServer,Debug,Request #  74: GET     -     7 ms - <default>  - 200 - /indexes/dynamic/AgentRecords?query=&start=0&pageSize=128&aggregation=None,
2012-05-31 11:55:57.9387,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 20 ms
	Index: Temp/AgentRecords
	Results: 2 returned out of 2 total.
",
2012-05-31 11:55:57.9387,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 6 ms
	Index: Temp/AgentRecords
	Results: 2 returned out of 2 total.
",
2012-05-31 11:55:58.3787,Raven.Database.Server.HttpServer,Debug,Request #  75: GET     -    28 ms - <default>  - 200 - /stats?noCache=1881711216,
2012-05-31 11:55:59.3148,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'agent/test3', update: False, ",
2012-05-31 11:55:59.3148,Raven.Database.DocumentDatabase,Debug,Put document agent/test3 with etag 00000000-0000-0300-0000-000000000003,
2012-05-31 11:55:59.3148,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 7 because: PUT agent/test3,
2012-05-31 11:55:59.3148,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.0019174,
2012-05-31 11:55:59.3148,Raven.Database.Server.HttpServer,Debug,Request #  76: POST    -     3 ms - <default>  - 200 - /bulk_docs,
2012-05-31 11:55:59.3148,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0300-0000-000000000002,
2012-05-31 11:55:59.3148,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 1 documents remained",
2012-05-31 11:55:59.3148,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 1 documents in IndexName: Temp/AgentRecords, LastIndexedEtag: 00000000-0000-0300-0000-000000000002",
2012-05-31 11:55:59.3148,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/AgentRecords. (agent/test3),
